Date,Open,High,Low,Close,Adj Close,Volume
2013-09-24,1.520000,1.610000,1.510000,1.580000,1.580000,26300
2013-09-25,1.650000,1.650000,1.600000,1.650000,1.650000,20000
2013-09-26,1.680000,1.680000,1.560000,1.650000,1.650000,6400
2013-09-27,1.670000,1.690000,1.570000,1.680000,1.680000,17600
2013-09-30,1.650000,1.700000,1.580000,1.670000,1.670000,23100
2013-10-01,1.650000,1.680000,1.500000,1.650000,1.650000,121000
2013-10-02,1.620000,1.650000,1.470000,1.630000,1.630000,11300
2013-10-03,1.580000,1.620000,1.550000,1.580000,1.580000,500
2013-10-04,1.550000,1.590000,1.520000,1.590000,1.590000,1600
2013-10-07,1.550000,1.590000,1.530000,1.570000,1.570000,8000
2013-10-08,1.610000,1.630000,1.500000,1.630000,1.630000,5900
2013-10-09,1.580000,1.650000,1.580000,1.600000,1.600000,11100
2013-10-10,1.550000,1.600000,1.530000,1.600000,1.600000,2700
2013-10-11,1.580000,1.750000,1.490000,1.630000,1.630000,148100
2013-10-14,1.680000,2.050000,1.590000,1.860000,1.860000,232400
2013-10-15,1.950000,2.100000,1.700000,1.760000,1.760000,287500
2013-10-16,1.760000,1.870000,1.650000,1.830000,1.830000,85200
2013-10-17,1.790000,1.840000,1.710000,1.780000,1.780000,25100
2013-10-18,1.800000,1.800000,1.650000,1.740000,1.740000,29700
2013-10-21,1.680000,1.770000,1.660000,1.750000,1.750000,37400
2013-10-22,1.750000,1.780000,1.620000,1.780000,1.780000,26600
2013-10-23,1.710000,1.790000,1.680000,1.780000,1.780000,46500
2013-10-24,1.780000,1.790000,1.620000,1.760000,1.760000,36200
2013-10-25,1.750000,1.780000,1.670000,1.780000,1.780000,3400
2013-10-28,1.750000,1.750000,1.680000,1.710000,1.710000,17200
2013-10-29,1.670000,1.730000,1.670000,1.730000,1.730000,3600
2013-10-30,1.770000,1.780000,1.670000,1.740000,1.740000,8900
2013-10-31,1.740000,1.800000,1.710000,1.780000,1.780000,17300
2013-11-01,1.700000,1.870000,1.700000,1.870000,1.870000,31500
2013-11-04,1.740000,1.900000,1.740000,1.880000,1.880000,53500
2013-11-05,1.880000,1.970000,1.850000,1.920000,1.920000,74900
2013-11-06,1.920000,2.040000,1.920000,2.010000,2.010000,82700
2013-11-07,2.100000,2.490000,1.970000,2.270000,2.270000,230800
2013-11-08,3.000000,3.000000,2.420000,2.910000,2.910000,863600
2013-11-11,2.970000,3.250000,2.610000,3.130000,3.130000,480400
2013-11-12,3.130000,3.190000,2.680000,2.740000,2.740000,209700
2013-11-13,2.710000,2.890000,2.710000,2.890000,2.890000,85500
2013-11-14,2.890000,2.890000,2.680000,2.780000,2.780000,87100
2013-11-15,2.770000,2.770000,2.180000,2.650000,2.650000,237900
2013-11-18,2.580000,2.690000,2.410000,2.570000,2.570000,82600
2013-11-19,2.510000,2.700000,2.500000,2.660000,2.660000,80600
2013-11-20,2.700000,2.740000,2.620000,2.700000,2.700000,26500
2013-11-21,2.630000,2.740000,2.550000,2.660000,2.660000,56200
2013-11-22,2.610000,2.780000,2.580000,2.680000,2.680000,15000
2013-11-25,2.700000,2.700000,2.580000,2.580000,2.580000,65500
2013-11-26,2.550000,2.550000,2.350000,2.470000,2.470000,49800
2013-11-27,2.470000,2.500000,2.410000,2.490000,2.490000,18700
2013-11-29,2.500000,2.500000,2.380000,2.470000,2.470000,10300
2013-12-02,2.430000,2.460000,2.290000,2.430000,2.430000,20500
2013-12-03,2.340000,2.410000,2.230000,2.330000,2.330000,42300
2013-12-04,2.370000,2.450000,2.280000,2.320000,2.320000,38800
2013-12-05,2.290000,2.370000,2.260000,2.290000,2.290000,33600
2013-12-06,2.260000,2.430000,2.230000,2.420000,2.420000,43800
2013-12-09,2.380000,2.690000,2.380000,2.560000,2.560000,53400
2013-12-10,2.470000,2.560000,2.430000,2.480000,2.480000,34300
2013-12-11,2.480000,2.690000,2.430000,2.530000,2.530000,84700
2013-12-12,2.540000,2.600000,2.460000,2.560000,2.560000,29200
2013-12-13,2.580000,2.600000,2.510000,2.600000,2.600000,12400
2013-12-16,2.590000,2.610000,2.550000,2.600000,2.600000,5900
2013-12-17,2.570000,2.680000,2.570000,2.680000,2.680000,47300
2013-12-18,2.680000,2.760000,2.520000,2.690000,2.690000,20400
2013-12-19,2.700000,2.700000,2.520000,2.630000,2.630000,87600
2013-12-20,2.550000,2.890000,2.390000,2.490000,2.490000,30900
2013-12-23,2.480000,2.510000,2.320000,2.430000,2.430000,24800
2013-12-24,2.400000,2.500000,2.330000,2.500000,2.500000,17100
2013-12-26,2.470000,2.540000,2.310000,2.400000,2.400000,67300
2013-12-27,2.360000,2.390000,2.080000,2.230000,2.230000,65100
2013-12-30,2.160000,2.350000,2.160000,2.250000,2.250000,92400
2013-12-31,2.300000,2.310000,2.260000,2.260000,2.260000,33800
2014-01-02,2.300000,2.300000,2.240000,2.270000,2.270000,8600
2014-01-03,2.240000,2.340000,2.240000,2.260000,2.260000,25200
2014-01-06,2.240000,2.440000,2.240000,2.440000,2.440000,56700
2014-01-07,2.450000,2.550000,2.340000,2.480000,2.480000,27800
2014-01-08,2.450000,2.530000,2.450000,2.460000,2.460000,10800
2014-01-09,2.460000,2.610000,2.460000,2.570000,2.570000,50400
2014-01-10,2.590000,2.590000,2.540000,2.570000,2.570000,36100
2014-01-13,2.510000,2.640000,2.400000,2.470000,2.470000,85900
2014-01-14,2.510000,2.580000,2.360000,2.570000,2.570000,39100
2014-01-15,2.530000,2.570000,2.350000,2.550000,2.550000,31600
2014-01-16,2.500000,2.740000,2.500000,2.640000,2.640000,24900
2014-01-17,2.600000,2.650000,2.560000,2.570000,2.570000,26800
2014-01-21,2.560000,2.670000,2.560000,2.670000,2.670000,28900
